stock_SYMBOL,STOCK_COMPANY,WIKI_SIMILARITY,NEWS_SIMILARITY,LINK_SIMILARITY,REFERENCE SIMILARITY
FNSR,Finisar Corporation,0.020901483117353754,0.46353689431364165,0.012658227848101266,0.14272271508649867
OSTK,"Overstock.com, Inc.",0.3266212366990665,0.5545671766018332,0.023206751054852322,0.16628932882613898
LTXB,"LegacyTexas Financial Group, Inc.",0.09304842103984709,0.4446233739426166,0.008438818565400843,0.20309510592790425
USAT,"USA Technologies, Inc.",0.15789692379525316,0.4229495698674151,0.006329113924050633,0.09872453297334817
